2026-05-27 01:04:48 | INFO     | mayss | RES | IP: testclient | GET /api/v1/bonuses/balance | Status: 401 | Time: 0.46ms
2026-05-27 01:04:48 | INFO     | httpx | HTTP Request: GET http://testserver/api/v1/bonuses/balance "HTTP/1.1 401 Unauthorized"
2026-05-27 01:04:48 | ERROR    | mayss | Unhandled exception: (sqlite3.OperationalError) no such table: products
[SQL: SELECT products.id AS products_id, products.seller_id AS products_seller_id, products.category_id AS products_category_id, products.title AS products_title, products.description AS products_description, products.brand AS products_brand, products.price AS products_price, products.old_price AS products_old_price, products.stock AS products_stock, products.status AS products_status, products.rejection_reason AS products_rejection_reason, products.image_url AS products_image_url, products.rating AS products_rating, products.reviews_count AS products_reviews_count, products.created_at AS products_created_at 
FROM products 
WHERE products.status = ? ORDER BY products.rating DESC, products.id DESC]
[parameters: ('ACTIVE',)]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-05-27 01:04:48 | INFO     | httpx | HTTP Request: GET http://testserver/api/v1/products/recommendations?limit=4 "HTTP/1.1 500 Internal Server Error"
2026-05-27 01:04:48 | ERROR    | mayss | Unhandled exception: (sqlite3.OperationalError) no such table: products
[SQL: SELECT products.id AS products_id, products.seller_id AS products_seller_id, products.category_id AS products_category_id, products.title AS products_title, products.description AS products_description, products.brand AS products_brand, products.price AS products_price, products.old_price AS products_old_price, products.stock AS products_stock, products.status AS products_status, products.rejection_reason AS products_rejection_reason, products.image_url AS products_image_url, products.rating AS products_rating, products.reviews_count AS products_reviews_count, products.created_at AS products_created_at 
FROM products 
WHERE products.status = ? AND (lower(products.title) LIKE lower(?) OR lower(products.description) LIKE lower(?)) ORDER BY products.id DESC]
[parameters: ('ACTIVE', '%наушники%', '%наушники%')]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-05-27 01:04:48 | INFO     | httpx | HTTP Request: GET http://testserver/api/v1/products?q=%D0%BD%D0%B0%D1%83%D1%88%D0%BD%D0%B8%D0%BA%D0%B8 "HTTP/1.1 500 Internal Server Error"
2026-05-27 01:04:48 | ERROR    | mayss | Unhandled exception: (sqlite3.OperationalError) no such table: seller_profiles
[SQL: SELECT seller_profiles.id AS seller_profiles_id, seller_profiles.user_id AS seller_profiles_user_id, seller_profiles.shop_name AS seller_profiles_shop_name, seller_profiles.description AS seller_profiles_description, seller_profiles.inn AS seller_profiles_inn, seller_profiles.is_verified AS seller_profiles_is_verified, seller_profiles.rejection_reason AS seller_profiles_rejection_reason, seller_profiles.rating AS seller_profiles_rating, seller_profiles.created_at AS seller_profiles_created_at 
FROM seller_profiles 
WHERE seller_profiles.id = ?
 LIMIT ? OFFSET ?]
[parameters: (1, 1, 0)]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-05-27 01:04:48 | INFO     | httpx | HTTP Request: GET http://testserver/api/v1/public/shops/1 "HTTP/1.1 500 Internal Server Error"
2026-05-27 01:04:48 | ERROR    | mayss | Unhandled exception: (sqlite3.OperationalError) no such table: users
